title,body,date,customer_name,customer_profile_link,verified_purchase,country,image_count,video_count,helpful_count,rating,style_attributes
Protein Mix For the Rest of Us,"After spending countless dollars trying countless protein shake mixes on the market, the Optimal Solutions Protein & Vitamin Mix best represents what I've been looking for all along - Tasty shake mix with a hearty amount of protein, and essential vitamins rather than athletic compounds that the average person may or may not really need.

Nature's Bounty has a good reputation for quality vitamins and supplements, so I was tickled to learn that they had formulated the Optimal Solutions powdered mix. My favorite is the Decadent Chocolate, but I like the lighter flavor of the Vanilla on occasion and keep both on hand. I have several health conditions that fare better when I consume more protein, but it's often hard to get the ratio I want without eating lots of meat. And I don't eat beans, either.

Optimal Solutions is indeed the optimal solution for me! I mix it with protein nut milk, a little bit of yogurt, or lactose free milk for swigging a cup throughout the day to get the protein levels I want. The mix blends okay manually, but makes a frothy smooth shake in a heartbeat with a simple blender. Tastes okay if mixed with water and ice, but is really good with milk, yogurt, or fruit.

I go through a canister each month, and price-wise I find it an economical, treat-like option to swallowing vitamin pills. I can wholeheartedly recommend Nature's Bounty Optimal Solutions and the Nature's Bounty product line in general.",17-Aug-17,Susan Cassell,https://www.amazon.com/gp/profile/amzn1.account.AFUEQ4PFKXQNJOA3WZ4KL3534P3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Perfect,Not gritty. Very smooth. Flavor is plenty and not too much. Filling. Will definitely order again,24-Oct-23,Lisa Grooms,https://www.amazon.com/gp/profile/amzn1.account.AH26L7GDA6DNA2NQCXNSLQKNTX6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Decent protein shake choice,This seems to be my go to for a quick protein shake. I haven���t found another chocolate flavor as good as this one. Decent cost compared to other proteins. Definitely curbs my appetite for several hours.,03-Aug-23,Gina,https://www.amazon.com/gp/profile/amzn1.account.AE5W6II2FVBEADAEIRLYJNJFNVKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Tasty but good for you!,"It's hard to find things that are super yummy while trying to maintain healthy/mindful consumption but this IS IT!!! I mixed mine with an equal amount of ice, water & vanilla almond milk, it's safe to say it hits the spot EVERY TIME. Not chalky, just right & all the nutrients needed to fuel your day. A lot of people in the reviews are complaining about the price but it's well worth it for the value. Shakeology or Kachava is triple the price & this one often goes on sale for jusr $8 per container. Snag them while you can for a fraction of the cost! Either way, well worth it. I won't drink anything else for a protein shake.",26-Sep-22,Alexis,https://www.amazon.com/gp/profile/amzn1.account.AHVXUYWPNVFBTYW75AUFTZJ6ZYWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,5,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
More than expected,"Just received, but think I will continue to order.",30-Oct-23,Sheila branch,https://www.amazon.com/gp/profile/amzn1.account.AGBXCGZ3PSB4SBENUQ7VCVQWJAEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
I love this protein powder!,"This is my first time trying protein powder. I bought both the vanilla and chocolate. I���ve tried the canola for the last 3 weeks. At first it tasted chalky, however I���ve noticed that the longer it is blended in, it actually blends in smoother and it no longer tastes chalky. I use this powder with cashew milk, frozen fruit and frozen bananas and I also add peanut butter powder, as the vanilla taste seemed strange to me in the beginning. I needed to get used to the vanilla taste and as such I add the peanut butter powder. I have noticed that I am very flatulent after I���ve drank the shakes, Therefore persons who may be have an aversion to dairy will need to try this to see if it works. This evening I finally tried the chocolate with the same ingredients used in my shake and I absolutely love it!!! I think I may prefer the chocolate, however adding the peanut butter powder to my shakes make such a big difference, that the taste of the protein powder does not over power.

My personal trainer advised that I should start the protein shakes for energy. It is not for weight loss, as I do still feel quite hungry even when I���ve had the shake.",25-Feb-20,Cotts77,https://www.amazon.com/gp/profile/amzn1.account.AHDCHXUNUFA7WKGBFH655RLUYFXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Tastes good,"One of the few protein powders that doesn't taste awful! It seems to work as well as other, higher priced powders. This is a pantry staple.",15-Aug-23,DaisyJ,https://www.amazon.com/gp/profile/amzn1.account.AGDDSF5JJEYDYPBMLWJMLPTPB63Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Great Energy Boost,"I suffer with Hashimotos and I have to say that this product keeps me going. I think the difference is that this contains a variety of Amino Acids. It also works well if you need a tie over until the next meal as it takes that hunger edge off. It's a big container, but it only has 13 servings. I mix it with COLD water. The vanilla flavor is good, but the chocolate is like a treat. Makes you look forward to getting that dose of vitamins. I am grateful for the energy and improvement to my over-all health. I recently started adding inulin fiber to the mix. I think I just perfected it, if that is possible.",26-May-22,~Vera,https://www.amazon.com/gp/profile/amzn1.account.AHHNAIJ5XWDGVOOOHGXYL4LRSENQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
LOVE THIS SHAKE,"It's definitely the best tasting chocolate protein shake around. Frankly, I don't know what it is about this formula, but it's really good. Love the thinness of the finished shake nomatter how much junk I put in it. I've been a fan of muscle milk and a few other heavy protein shake mixes and chocolate is always good but this one has a better finished texture and a really rich flavor.

Then I ramp it up even more. I make my shakes in a blender, with frozen strawberries with either milk or coconut milk. I like adding a frozen overripe banana sometimes. Sometimes I add a spoon of peanut butter. Also, I always add a packet of sugar free hot chocolate so it's even more chocolatey. (also because I buy the damn things but we always forget we have them so I use them up and they give my shake added calcium and a chocolate boost). (can't have enough chocolate)

They ARE grainy but it doesn't bother me and I don't mind it. Also maybe because they don't get too creamy and take on a lot of air. That's my big complaint about most protein shakes now - the more you blend, the smoother they get but they get too thick, too foamy, too filled with air and when they're done, you have to eat half of it with a spoon. I do not like that. Nature's Bounty doesn't seem to, at least as much as the whey shakes do. That's it. I highly recommend them.",14-May-13,ancient incognito monkey,https://www.amazon.com/gp/profile/amzn1.account.AEWVMXK6PJAYCQNIFIJMV74RF4HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Good stuff,Tastes good,04-Nov-23,Deborah Swanson,https://www.amazon.com/gp/profile/amzn1.account.AFPJXHT4MBPF2HHTG2GRTFKLYZ6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Protein powder,"Ok
Good stuff",16-Nov-23,Rebecca Caruso,https://www.amazon.com/gp/profile/amzn1.account.AH4HI4CMVNJWN6AUBFZUIT4PA6DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
"By Far, The Best","I tried all kinds of protein shake mixes over the years. Then a number of years ago I found this at my local pharmacy and tried it. The price, compared to some, is a little more expensive. However, compared to the high-end mixes that are are the rage, this is very inexpensive and, in my opinion, worth every penny. The taste far exceeds the most expensive and highest praised product on the market today. The directions call for two scoops per cup of milk, I find it to be a bit much and am satisfied with one scoop.

It is wonderful by itself or mixed up into other concoctions I have created. For the chocolate, I enjoy making either Peppermint Patties or peanut butter cups. for the former, mix as normal, but add a few drops of peppermint extract. For the latter, I mis as directed and add about half to a teaspoon, depending on taste, of powdered peanut butter. The vanilla mixes well as an apple crisp, recipe obtained from Nature's Bounty site. Or a handful of frozen fruit. I will also take either and mix into some hot coffee, froth the milk and add. I call these Debbie-ccinos.

These mixes are superb and you are not adding things to mask the taste, but to enhance it and create new experiences. Just have fun with it.",04-Feb-17,DL Bach,https://www.amazon.com/gp/profile/amzn1.account.AGGSB2UF5E3DJWCL3P5VA2TOASPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,5,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Great Taste & Great Price,"Trying to loose weight, and found this product. It arrived a couple days after i ordered it. I got the vanilla, as i figured i could always add unsweetened cocoa powder to it, if i wanted chocolate. I use it as my breakfast alternative. The taste is great, and it doesn't taste overly, chalky. I add half a banana, a handful of blueberries, a tablespoon or two of yogurt (depending on how thick and creamy you want your smoothie), a handful or two of cubed ice, and a teaspoon or tablespoon of unsweetened cocoa powder (depends on how chocolatey you want). Blend good, and voila! I only gave 4 stars; because i thought this would keep me a little fuller, until after lunch. It gets me to lunch, without having to go eat, but i would have like to have that ""Full"" feeling, that carries me a little longer. Not a problem though, i will try adding flax seed to see if that helps. I am very satisfied with this product, and it's price. I intend to keep purchasing it.

***UPDATE*** Now adding 2 tablespoons Flaxseed in the smoothie... My belly feels full. I am not even thinking about lunch, before lunch. I have updated to 5 stars, as this now, is my perfect weigh loss supplement.",20-Mar-18,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFEPDSBZBONEY7MHWJHJDWUEUJJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,26,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Happy Happy Happy,"I received my order four days ago, this is the first time I���ve ever used it but I have used other shake products on the market and was very disappointed. For the first time in my life I have found something that I feel like I can stick with. It tastes good, I feel full, I don���t have the cravings that I had before, there is no appetite suppressant in this but I just don���t feel hungry like I did before. I have no time for exercise at this point in my life I have a very active job and I work long hours, I have arthritis and I was looking for some thing that had some health benefits.I���m so happy with this product I just bought my second because I do not want to run out. I can���t say enough good things about it. And when I do eat a meal I don���t over eat I just don���t want to and I am an emotional eater when I���m tired or I���m stressed or I���m worried I eat and I always over eat I���m not doing that. Happy girl right here!",18-Jul-20,Sheila Hicks,https://www.amazon.com/gp/profile/amzn1.account.AFZEPC2RJMCTR5X4QOWKX3XSQMKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Great Texture,"I have a sensitive stomach and sensory issues with food. This is the single protein powder that I can actually consume without it making me feel sick in one way or another. I do agree it's a little expensive, but to me it's worth it. I struggle to eat meat, which generally results in my daily protein being very low and this helps to make them a little higher. Also, if it's blended well it's very very similar to chocolate milk in flavor and texture. I think a shot of espresso would be great in it too.",05-Jan-23,Ashley,https://www.amazon.com/gp/profile/amzn1.account.AFAPXWCDJB2QQCRGQCR6XCX4L7NA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,5,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Very good!,"I feel this protein powder is absolutely the best for all the girlies because it literally has all the ideal vitamins we need on top of that it tasteee greattt! I haven���t had many experiences with other different protein powders but between this one and my old one, this one take the cake! I highly recommend ladies because my nails and hair are flourishing and it���s giving me gainsss :)",09-Apr-23,Aaliyah,https://www.amazon.com/gp/profile/amzn1.account.AG4HXB63BK5EGQLHLTD3GVESDI3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,17,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
"Awesome Product, Comparable to Shakelolgy","I love this protein shake mix! As many others here, I have used Shakeology in the past and loved it, but it was so expensive and hard to commit to long term with such a high price tag. With this shake mix, I can literally buy a almost year's supply with what a month of Shakeology would cost (there was even a ""discount"" I could apply at check-out for this item, so make sure you look for that too). Even though it may not have ALL the nutritional value of Shakeology, it is very close and the price and taste cannot be beat. Shakeology actually has more calories, sugar, and sodium per serving when compared to this (Yeah, I was shocked too!). One thing I have noticed, though, is this does not keep as full for as long as the Shakeology mix did (maybe an hour or so difference, no big deal). The chocolate taste is delicious though! I use a frozen banana, water, and ice, blend for about 30 seconds, and then add this mix in and blend another 30 seconds. Perfect, smooth, delicious breakfast smoothies every time! I drink it every morning.

As a note, I used Shakelogy for my first found of 21-day fix, and am using this replacement for my second round of 21-day fix. So far, my results have been the same as the first time around which is awesome!",02-Jan-16,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHBQ73LOUCI3Q3F2FOZ4W6U7RNGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
I love this stuff!!,"My biggest issue has always been skipping meals and gaining weight because my body would hold on to the calories I did take in. The flavor of this (I love the chocolate) is great! I mix it with milk and Ice cubes but have mixed it with water and it is still good! I drink it for breakfast and I am not hungry till lunch. I am eating healthy, walking, and losing weight.",16-Feb-23,Diane M.,https://www.amazon.com/gp/profile/amzn1.account.AG42TZQSL35OUMTU2JUKJ3VZ62KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,8,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Great taste and texture. Filling. Try it with Almond Milk,"Great taste, quality product. Great meal replacement. Try it with Vanilla Almond Milk, I think that mixes better than cow milk, and it's hard to imagine many that won't enjoy it - and (unless you get unsweetened milk) you won't feel the need to sweeten it or cover what often is a gritty or bitter protein product with fruit or other sugary stuff. It's talc powder fine - enough that I just use a shaker glass with a wire ball and so it's lightning fast to get it down, so that's great for breakfast and I can easily skip lunch if need be on a busy day with minimal hunger, or at least get to lunch without snacking - difficult in my office full of women who like to cook. Good balance on the nutritional side. I do see that there is some oat fiber in it now, so if you are truly a celiac patient then that will carry a little risk for you (ignore this all of you who are just on a gluten free kick - Oat has minimal (more like negligible) gluten, and most of that is from sharing processing equipment with wheat mills). Bottom line, this is a quality product, there is not the usual smell or unpalatable issues I've seen with most other protein powders. I think they have worked hard on getting the balance right with this product.",10-Jun-15,J. Spurlock,https://www.amazon.com/gp/profile/amzn1.account.AEAFB3G24577CL3CEXHDMCZ7EWNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,3,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
I'm picky and this is yummy!,"I bought this to use in a smoothie and I was hesitant because I never like the taste of protein powders. They always seem to taste artificial or sickeningly sweet. Now I haven't had this powder plain, just mixed with water. Instead, I mix it into a smoothie with fruit, almond milk, peanut butter, and spinach. It adds just the right amount of chocolate flavor, is not overpowering, and doesn't make the smoothie too sweet. I'm on my 3rd container now and I'll continue buying as long as it's available.",08-Dec-22,Cait,https://www.amazon.com/gp/profile/amzn1.account.AFAZRLXUGED5ZHUQC5GI7KHE5Q5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,9,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
"Amazing price, flavor, and quick results-- if combined with workouts and a healthy diet!","This is my new bae!
I got this as a Shakeology and breakfast alternative to keep me full before lunch. I am 16 weeks postpartum, and desperately trying to lose 18 lbs. I'll have to wait and see since I literally just got it. It tastes nasty with water though, so definitely try it with almond milk! I only use a scoop with 8 oz of almond milk.

-Update- (3 weeks later)
My skin, hair, and digestive system are happy! I'm glowing with this product, plus I have no cravings for all the junk I used to eat! Lost 2 lbs already!

~Second update ~
Okay, you need to get this shake! I've lost 12 lbs!! Only 6 more to go! Keep in mind it's not the shake alone. I'm also doing Paleo, and therefore stopped eating carbs, sweets, sugary drinks, frozen meals, dairy, etc; and replaced them with lean meats, veggies, and low-calorie foods.",11-Feb-21,Guitargirl,https://www.amazon.com/gp/profile/amzn1.account.AHZSHPMZ7T5YLG46INTAKW6CAG7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,1,0,7,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
This one in particular is excellent. I read that some use almond milk,"I have only recently begun drinking these protein shakes, but I am hooked. This one in particular is excellent. I read that some use almond milk, but I've also had a good result using water with half a cup of oatmeal flakes to help thicken it. With a banana, oatmeal, fresh blueberries, this is a healthy breakfast alternative to the bacon-egg-biscuit from the drive through! Plus, I am loving the convenience. I make two of these at bedtime, and pop them in the freezer. The next morning, I set them on the counter while getting ready for work. I drink one on the way, put one in the freezer at work, taking it out early enough to thaw for a mid-afternoon ""lunch."" So, these are two meal replacements for me. I'm not a nutritionist, so I can't say this is the proper intake of the vitamins, proteins, etc., but I can say that I feel like a new woman -- I have more energy, am sleeping better at night, not as many hot flashes, better mood, just better all around! I suggest that if you are new to the world of protein shakes, and are having a hard time getting used to the taste and texture, try this one and experiment with different additives until you find what works for you.",25-Apr-16,Silvergirl,https://www.amazon.com/gp/profile/amzn1.account.AF5BIZR3MLYQZZX37ODRYXQI7OKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,6,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Yummy chocolate shake mix! Very happy!- Watch Price Though!!!,"Finally, a chocolate protein shake that is YUMMY without me having to add stuff to it!! I've tried a lot of chocolate protein powders. They are ""OK"" and I tend to add things to them like PB2, etc. I got the chocolate Nature's Bounty in the mail and could tell it was different even based on the texture of the powder. I've been using it for 3-4 months now and love it. It sort of reminds me of Carnation Instant Breakfast as far as the taste goes. I put it in a Contigo Shake & Go shaker (TJ Maxx $8) or other shaker container and it mixes well. It does NOT mix well with a spoon (it's clumpy). I have tried it with skim milk, water (not so great), and now I'm doing half skim milk half water and it works well too.
HOWEVER, watch the PRICE. It was an add-on after xmas for just under $10. Meijer also had it buy one get one free which brought their price down to $8ish each. Amazon is asking $18-19 now and that's ridiculous. I guess I'll run out for awhile because that is TOO HIGH. I will buy several if I see the price below $10 again. Love the product, hate the high price!",03-Dec-15,AmberWavesOfGrain,https://www.amazon.com/gp/profile/amzn1.account.AFQ5JF7TKPS5VXX76CWJFBUCFX6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,1,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
Can I give this more than 5 stars...,"This mix is EVERYTHING!!!!!! super affordable, filling and with great ingredients. I use this as a breakfast replacement since I never have time to eat breakfast most mornings and it���s been working out great keeps me full and energized until I have time to fuel up during my lunch break. For best results I would recommend mixing with some type of milk or dairy substitute I tried this shake with water and it was disgusting(not un-drinkable but not very good), the powder would not blend with it for some reason making the shake taste extremely chalky. With milk (I use almond milk) the difference is like night and day the shake comes out smooth creamy and delicious! My recipe for my morning shakes have been 8oz of almond milk with 2 scoops of this powder and 1tsp of pbfit peanut butter protein powder (which is AMAZING btw and you can get it at Amazon as well) with 1 frozen banana and let me just tell you my mornings have never been better I���m actually excited to wake up and make this drink it���s that good!!!!!! I���m buying 3 more just to have extra stock of it I never want to be with out this mix ever.",03-Jun-18,Nicole Williams,https://www.amazon.com/gp/profile/amzn1.account.AFLHMUQGWCGASYOQTI2MEVQMB6UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,9,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Search No More!,"Let me just say WOW! I���m 100% new to the protein shake game and done sooo much research! With that being said I was directed to this and I���m so glad for that! The taste is so amazing (I almost feel guilty drinking it) and the way it blended was a dream. I was so sacred of getting a chalky gross shake to force down and had I.. I probably would have lost hope quickly. I appreciate the taste, texture, ingredients, and price! I���m using this as a breakfast meal replacement in hopes of controlling hunger and losing some weight.

I mixed this by using:
- 2 scoops of powder
-8oz of vanilla almond milk (I will be switching to unsweetened because it is to sweet for me to use regular)
-1 tablespoon of hemp hearts (for added protein)
-1/4 cup of frozen mixed berry fruit
I blended it in my Ninja Blender and it was perfect!",04-Mar-21,Emahlee93,https://www.amazon.com/gp/profile/amzn1.account.AHRPFRMQK6AZ4HGVQLOXBKHOSJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,1,0,1,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Good,I buy vanilla and chocolate both are good but like more vanilla,16-Sep-23,Melissa Jaume,https://www.amazon.com/gp/profile/amzn1.account.AEXZJTV73JDG6JQ46C5IFK37HGTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Five Stars,"I love this stuff! I have tried several other protein powders, and while there are many out there with more protein, I always end up forcing myself to use them because they are chalky and not up to snuff. This one actually tastes like a delicious chocolatey shake! I usually use it as a meal replacement, and it actually keeps me full and satisfied for a while and I always look forward to it, because it makes me feel like I am having a special treat. I keep it pretty simple (I took this idea from a previous reviewer and tweaked it ever so slightly): 2 scoops chocolate protein powder, 1 cup unsweetened vanilla almond milk, and 1 frozen banana whipped up in the blender. Or I will take out half the banana and add a tablespoon of nut butter. Both versions are under 300 calories.

You could also keep it simple and just mix it with water or your favorite milk. Or try another variation of smoothie. So many options, but it's always going to be delicious if you use this!

Another idea:
- Fudgy brownie balls: 1 scoop chocolate protein powder, 1 tbsp almond butter, a splash of almond milk to make the consistency of brownie batter. Form into balls for a sweet snack!",01-Jul-15,Lindiana Jones,https://www.amazon.com/gp/profile/amzn1.account.AHFSSBC6UBKH2EALS25A3A6S2Q3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
My favorite go-to protein drink!,I always make sure to have this stocked in my pantry! It���s my absolute favorite protein shake. The flavor alone sells itself & the additional of the vitamins with protein are amazing. I���ve noticed a huge difference in my skin (especially when I stop taking it). It���s a great quick grab on the go for nourishment or as a meal supplement.,18-Mar-23,Jasmine Owimrin,https://www.amazon.com/gp/profile/amzn1.account.AEYPBFDLTWAAL5FCH2W6C3DEDK6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,7,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
If you like Stevia you'll probably LOVE this,"The thing is I'm not a huge fan of Stevia. It has that bitter taste and you can clearly tell it's sweetened with Stevia, but it's not bad. I'm going to finish the rest of the product because it's good, but it's not something I want to pay for again and it's only because of the strong Stevia flavor. It also **Kind Of** taste chalky but maybe that's the Stevia I'm tasting

When I first got this I tried mixing this with *only water* and couldn't finish it. However mixing it with milk was absolutely fine. I drink it 1-2 times a day and it's helping me get through a head-cold. I blend this with a Ninja blender and there's no chunks for me. This keeps me full for about 2-3 hours.

All in all, this is a great tasting shake especially if you love Stevia. And it's a fair price, so I would say to try it.

**Edit** After about a week I didn't mind the flavor of the Stevia at all anymore. I actually liked the taste of the shake. It's delicious to me now. Would I buy it again? Yes, but I'm still keeping my options open and trying other shake mixes for now.",02-Feb-17,Akela,https://www.amazon.com/gp/profile/amzn1.account.AE6OB2PMSXXG2WQWWEPOI6K5L37Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'ChocolateSize: 1 Pound (Pack of 1)'}
This stuff works!!,"There is some poop-related TMI in this review. You have been warned lol

So, I bought this stuff mainly because I needed more fiber in my diet and I get tired of just drinking orange-flavored Metamucil!! This, I can mix with milk like Nesquik essentially. Well, flavor-wise this was not (sad because I got hyped up for something titled Decadent!) but I'm happy to say I had a big normal-looking BM about 30 minutes after sipping on it! Every time I've drank this powder, it has helped me go to the bathroom a little so I'm excited to share that. I may purchase again in the future just to help me poop and all the other bonuses that come with it such as getting my protein intake for the day. ����",07-Jul-21,Cori,https://www.amazon.com/gp/profile/amzn1.account.AEQ5FCALW66LDZ5FKN3T4II26N2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,36,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
Really helped with energy and even lost weight,"I have had a desk job for now 3 years and I have slowly gained weight. Throughout the years, I have been on my feet for work and never realized how much that kept me in shape. I have gained at least 10 lbs in 3 years.

I have purchased this item 7 times. I have it with water for breakfast each morning and it makes me feel full, and I have lost weight. I was down 8-10 lbs. I stopped using this for about 5-6 months, and I actually gained 7 lbs back. I felt really good when I was on schedule with have this for breakfast, now I feel sluggish. I have recently started this again realizing how this product made a difference for me. It tastes good, and I use my blender cup and shake and it���s ready.",23-May-21,Stacey Youngworth,https://www.amazon.com/gp/profile/amzn1.account.AGXJA7J3Y5NWGKDCUX5EXBHVRRHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 16 Ounce (Pack of 1)'}
Natures Bounty Protein powder.,"Powder dissolves easily and tastes good! Mix with fruits and veggies, turmeric, yogurt and almonds. Ice and water or milk finish it off. Not hungry for the rest of the day.",14-Jun-23,Betty,https://www.amazon.com/gp/profile/amzn1.account.AFHBESYVKV2XC424UJB3RZNIUE7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,5,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Buy,Teen daughters love it!,29-Sep-23,PS Ramirez,https://www.amazon.com/gp/profile/amzn1.account.AHD4WGIBBHCHNQIBOEXYTCKLSWZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,0,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Super healthy!,This product is the best! I love the flavor and it is VERY healthy for shake protein support!! I drink 2x a week and i do see a difference. My hair grows more and i seem more healthy as my nails too grow. I love my shakes and i feel great ����,22-Mar-23,Ivette,https://www.amazon.com/gp/profile/amzn1.account.AHQOLV7UTRFDFWHRDXTYJ2PKOSCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,10,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
I feel better since taking this supplement!,I am not a breakfast eater but know I need protein early in the day. I make a drink every morning and after 2 weeks I can really feel the energy! Thank you for this product and making it affordable ������,02-May-23,Mary Ann Blaylock,https://www.amazon.com/gp/profile/amzn1.account.AHXX3WJINSKQB4VENOCW2WTHHMJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,12,5 out of 5 stars,{'Flavor Name': 'VanillaSize: 1 Pound (Pack of 1)'}
Great buy online,"I normally ordered these in store when I began to buy these in the past. The price of the chocolate online is definitely a deal compared to any in-store purchase. This item taste good but it requires mixing well. I also added Instant coffee and almond milk, blend well, then poor over ice for a latte feel and to keep from getting bored with the taste. I sometimes mix with another protein shake that has a cookies and cream taste.",09-Aug-22,Maggie Mae,https://www.amazon.com/gp/profile/amzn1.account.AHAZVAWZXZ3I6DWT4DIHUS57CXBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,TRUE,the United States,0,0,2,5 out of 5 stars,{'Flavor Name': 'Decadent chocolateSize: 1 Pound (Pack of 1)'}
